Number of parameters: 24,627,840
iter 214: loss 4.1465, time 4808.18ms, mfu 0.04%
iter 215: loss 4.4826, time 2183.86ms, mfu 0.05%
iter 216: loss 4.4826, time 2522.14ms, mfu 0.05%
iter 217: loss 4.3480, time 4813.91ms, mfu 0.05%
iter 218: loss 4.1051, time 4808.84ms, mfu 0.05%
iter 219: loss 4.0828, time 4809.14ms, mfu 0.05%
iter 220: loss 4.4263, time 4807.85ms, mfu 0.05%
iter 221: loss 4.9798, time 4809.92ms, mfu 0.05%
iter 222: loss 4.6494, time 4808.84ms, mfu 0.05%
iter 223: loss 4.3409, time 4807.53ms, mfu 0.05%
iter 224: loss 4.5694, time 4808.69ms, mfu 0.05%
iter 225: loss 4.4452, time 4809.25ms, mfu 0.04%
iter 226: loss 4.5843, time 4808.39ms, mfu 0.04%
iter 227: loss 4.6592, time 4808.87ms, mfu 0.04%
iter 228: loss 4.4310, time 4808.55ms, mfu 0.04%
iter 229: loss 4.4168, time 4808.26ms, mfu 0.04%
iter 230: loss 4.4198, time 4814.32ms, mfu 0.04%
iter 231: loss 4.1019, time 4809.77ms, mfu 0.04%
iter 232: loss 4.5083, time 4806.94ms, mfu 0.04%
iter 233: loss 4.2490, time 4808.65ms, mfu 0.04%
iter 234: loss 4.7511, time 4809.56ms, mfu 0.04%
iter 235: loss 4.3708, time 4807.78ms, mfu 0.04%
iter 236: loss 3.8775, time 4809.70ms, mfu 0.04%
iter 237: loss 4.5894, time 4808.17ms, mfu 0.04%
iter 238: loss 4.3240, time 4808.02ms, mfu 0.04%
iter 239: loss 4.1102, time 4809.77ms, mfu 0.04%
iter 240: loss 4.5112, time 2363.39ms, mfu 0.05%
iter 241: loss 4.4434, time 2193.04ms, mfu 0.05%
iter 242: loss 4.1337, time 4808.35ms, mfu 0.05%
iter 243: loss 4.8408, time 4813.93ms, mfu 0.05%
iter 244: loss 4.4429, time 4785.83ms, mfu 0.05%
iter 245: loss 4.5897, time 4785.13ms, mfu 0.05%
iter 246: loss 4.7290, time 4786.95ms, mfu 0.05%
iter 247: loss 4.1248, time 4788.27ms, mfu 0.05%
iter 248: loss 4.1057, time 4806.77ms, mfu 0.05%
iter 249: loss 4.4338, time 4769.85ms, mfu 0.05%
step 250: train loss 4.3499, val loss 5.0714
saving checkpoint to out-shakespeare
iter 250: loss 4.0756, time 195894.92ms, mfu 0.04%
iter 251: loss 4.4166, time 3675.08ms, mfu 0.04%
iter 252: loss 4.4027, time 4766.27ms, mfu 0.04%
iter 253: loss 4.2599, time 4149.38ms, mfu 0.04%
iter 254: loss 4.6011, time 4067.08ms, mfu 0.04%
iter 255: loss 3.9500, time 4785.88ms, mfu 0.04%
iter 256: loss 4.4112, time 4561.81ms, mfu 0.04%
iter 257: loss 4.2352, time 4017.52ms, mfu 0.04%
iter 258: loss 4.4645, time 4040.23ms, mfu 0.04%
iter 259: loss 4.1707, time 4781.89ms, mfu 0.04%
iter 260: loss 4.5269, time 4126.76ms, mfu 0.04%
iter 261: loss 3.9158, time 4458.93ms, mfu 0.04%
iter 262: loss 4.6379, time 4455.53ms, mfu 0.04%
iter 263: loss 4.5229, time 4785.91ms, mfu 0.04%
iter 264: loss 4.3179, time 4783.62ms, mfu 0.04%
iter 265: loss 4.7133, time 4116.55ms, mfu 0.04%
iter 266: loss 4.4937, time 3494.08ms, mfu 0.05%
iter 267: loss 4.4647, time 4131.67ms, mfu 0.05%
iter 268: loss 4.3208, time 4789.73ms, mfu 0.05%
iter 269: loss 4.3331, time 3494.11ms, mfu 0.05%
iter 270: loss 3.9765, time 4785.04ms, mfu 0.05%
iter 271: loss 4.6614, time 4124.11ms, mfu 0.05%
iter 272: loss 4.3300, time 4767.62ms, mfu 0.05%
iter 273: loss 4.0656, time 4009.02ms, mfu 0.05%
iter 274: loss 4.2833, time 4128.93ms, mfu 0.05%
iter 275: loss 4.8020, time 4782.59ms, mfu 0.05%
iter 276: loss 4.4321, time 4025.82ms, mfu 0.05%
iter 277: loss 4.5748, time 4471.78ms, mfu 0.05%
iter 278: loss 4.0574, time 3491.97ms, mfu 0.05%
iter 279: loss 4.2075, time 4121.39ms, mfu 0.05%
iter 280: loss 4.4770, time 4782.17ms, mfu 0.05%
iter 281: loss 4.6626, time 2858.31ms, mfu 0.05%
