Number of parameters: 24,627,840
iter 212: loss 4.7039, time 1508.57ms, mfu 0.07%
iter 213: loss 4.6519, time 4332.95ms, mfu 0.06%
iter 214: loss 4.1465, time 4807.32ms, mfu 0.06%
iter 215: loss 4.4819, time 3997.86ms, mfu 0.06%
iter 216: loss 4.4782, time 1584.71ms, mfu 0.07%
iter 217: loss 4.3525, time 3994.50ms, mfu 0.07%
iter 218: loss 4.1029, time 4806.41ms, mfu 0.06%
iter 219: loss 4.0813, time 4808.04ms, mfu 0.06%
iter 220: loss 4.4272, time 2949.86ms, mfu 0.06%
iter 221: loss 4.9779, time 1615.96ms, mfu 0.07%
iter 222: loss 4.6534, time 3970.58ms, mfu 0.07%
iter 223: loss 4.3467, time 4808.36ms, mfu 0.06%
iter 224: loss 4.5689, time 4808.49ms, mfu 0.06%
iter 225: loss 4.4488, time 4807.12ms, mfu 0.06%
iter 226: loss 4.5863, time 1659.21ms, mfu 0.07%
iter 227: loss 4.6605, time 4062.45ms, mfu 0.06%
iter 228: loss 4.4324, time 4807.54ms, mfu 0.06%
iter 229: loss 4.4159, time 4806.86ms, mfu 0.06%
iter 230: loss 4.4217, time 2965.78ms, mfu 0.06%
iter 231: loss 4.1057, time 1624.13ms, mfu 0.07%
iter 232: loss 4.5110, time 3936.24ms, mfu 0.06%
iter 233: loss 4.2458, time 4807.49ms, mfu 0.06%
iter 234: loss 4.7518, time 3911.75ms, mfu 0.06%
iter 235: loss 4.3705, time 1824.37ms, mfu 0.07%
iter 236: loss 3.8749, time 3641.27ms, mfu 0.06%
iter 237: loss 4.5908, time 4807.08ms, mfu 0.06%
iter 238: loss 4.3260, time 4807.73ms, mfu 0.06%
iter 239: loss 4.1243, time 4670.69ms, mfu 0.06%
iter 240: loss 4.5113, time 1973.17ms, mfu 0.06%
iter 241: loss 4.4433, time 2007.73ms, mfu 0.07%
iter 242: loss 4.1358, time 2023.53ms, mfu 0.07%
iter 243: loss 4.8433, time 4048.55ms, mfu 0.07%
iter 244: loss 4.4433, time 4808.77ms, mfu 0.06%
iter 245: loss 4.5864, time 4807.05ms, mfu 0.06%
iter 246: loss 4.7280, time 4808.45ms, mfu 0.06%
iter 247: loss 4.1239, time 4808.34ms, mfu 0.06%
iter 248: loss 4.1060, time 3393.91ms, mfu 0.06%
iter 249: loss 4.4380, time 1978.97ms, mfu 0.06%
step 250: train loss 4.3522, val loss 5.0732
saving checkpoint to out-shakespeare-char
iter 250: loss 4.0760, time 165584.50ms, mfu 0.06%
iter 251: loss 4.4147, time 4651.60ms, mfu 0.06%
iter 252: loss 4.4031, time 4807.19ms, mfu 0.05%
iter 253: loss 4.2617, time 3847.66ms, mfu 0.05%
iter 254: loss 4.6008, time 1621.95ms, mfu 0.06%
iter 255: loss 3.9511, time 2853.17ms, mfu 0.06%
iter 256: loss 4.4113, time 2578.02ms, mfu 0.06%
iter 257: loss 4.2346, time 3653.27ms, mfu 0.06%
iter 258: loss 4.4679, time 3497.09ms, mfu 0.06%
iter 259: loss 4.1731, time 2564.91ms, mfu 0.06%
iter 260: loss 4.5311, time 4415.08ms, mfu 0.06%
iter 261: loss 3.9303, time 4808.59ms, mfu 0.06%
iter 262: loss 4.6413, time 4808.56ms, mfu 0.06%
iter 263: loss 4.5222, time 4812.42ms, mfu 0.06%
iter 264: loss 4.3238, time 2372.53ms, mfu 0.06%
iter 265: loss 4.7145, time 2095.41ms, mfu 0.06%
iter 266: loss 4.4951, time 4808.12ms, mfu 0.06%
iter 267: loss 4.4634, time 4805.98ms, mfu 0.06%
iter 268: loss 4.3220, time 4808.70ms, mfu 0.06%
iter 269: loss 4.3344, time 4807.69ms, mfu 0.06%
iter 270: loss 3.9803, time 3796.67ms, mfu 0.05%
iter 271: loss 4.6610, time 1672.90ms, mfu 0.06%
iter 272: loss 4.3290, time 2116.04ms, mfu 0.06%
iter 273: loss 4.0639, time 4807.22ms, mfu 0.06%
iter 274: loss 4.2866, time 4808.24ms, mfu 0.06%
