Number of parameters: 24,185,472
iter 343: loss 4.2947, time 95.13ms, mfu 2.05%
iter 344: loss 4.3470, time 95.30ms, mfu 2.05%
iter 345: loss 4.3999, time 95.14ms, mfu 2.05%
iter 346: loss 4.3754, time 95.06ms, mfu 2.05%
iter 347: loss 4.0984, time 95.33ms, mfu 2.05%
iter 348: loss 4.2841, time 95.44ms, mfu 2.05%
iter 349: loss 4.4685, time 95.06ms, mfu 2.05%
iter 350: loss 4.0631, time 95.23ms, mfu 2.05%
iter 351: loss 4.1164, time 95.09ms, mfu 2.05%
iter 352: loss 4.0769, time 95.62ms, mfu 2.05%
iter 353: loss 4.3314, time 95.95ms, mfu 2.05%
iter 354: loss 4.2299, time 95.82ms, mfu 2.05%
iter 355: loss 4.0786, time 95.22ms, mfu 2.05%
iter 356: loss 4.1647, time 95.15ms, mfu 2.05%
iter 357: loss 3.8654, time 95.06ms, mfu 2.05%
iter 358: loss 3.9483, time 94.91ms, mfu 2.05%
iter 359: loss 4.0830, time 95.22ms, mfu 2.05%
iter 360: loss 4.3098, time 95.27ms, mfu 2.05%
iter 361: loss 4.5990, time 95.07ms, mfu 2.05%
iter 362: loss 4.1326, time 94.93ms, mfu 2.05%
iter 363: loss 3.8580, time 94.76ms, mfu 2.05%
iter 364: loss 4.2182, time 95.34ms, mfu 2.05%
iter 365: loss 4.3140, time 95.23ms, mfu 2.05%
iter 366: loss 4.2922, time 96.00ms, mfu 2.05%
iter 367: loss 3.6842, time 94.74ms, mfu 2.05%
iter 368: loss 4.2410, time 96.97ms, mfu 2.05%
iter 369: loss 4.3947, time 95.49ms, mfu 2.05%
iter 370: loss 4.1159, time 96.53ms, mfu 2.04%
iter 371: loss 4.1070, time 96.62ms, mfu 2.04%
iter 372: loss 4.0374, time 95.04ms, mfu 2.04%
iter 373: loss 4.1636, time 95.57ms, mfu 2.04%
iter 374: loss 4.2854, time 95.59ms, mfu 2.04%
iter 375: loss 4.2053, time 95.88ms, mfu 2.04%
iter 376: loss 4.0740, time 95.61ms, mfu 2.04%
iter 377: loss 4.2673, time 95.60ms, mfu 2.04%
iter 378: loss 3.9624, time 95.89ms, mfu 2.04%
iter 379: loss 3.7503, time 96.06ms, mfu 2.04%
iter 380: loss 4.5074, time 96.95ms, mfu 2.04%
iter 381: loss 4.7039, time 95.31ms, mfu 2.04%
iter 382: loss 3.9428, time 95.42ms, mfu 2.04%
iter 383: loss 3.8175, time 96.15ms, mfu 2.04%
iter 384: loss 4.2178, time 95.64ms, mfu 2.04%
iter 385: loss 4.1741, time 95.66ms, mfu 2.04%
iter 386: loss 3.8495, time 95.64ms, mfu 2.04%
iter 387: loss 3.9521, time 95.71ms, mfu 2.04%
iter 388: loss 3.8765, time 95.52ms, mfu 2.04%
iter 389: loss 3.9263, time 96.33ms, mfu 2.04%
iter 390: loss 3.8662, time 95.69ms, mfu 2.04%
iter 391: loss 4.2063, time 95.81ms, mfu 2.04%
iter 392: loss 4.0127, time 96.11ms, mfu 2.04%
iter 393: loss 3.8945, time 96.36ms, mfu 2.04%
iter 394: loss 3.9916, time 95.68ms, mfu 2.04%
iter 395: loss 3.9968, time 95.50ms, mfu 2.04%
iter 396: loss 4.1965, time 95.76ms, mfu 2.04%
iter 397: loss 3.6499, time 95.63ms, mfu 2.04%
iter 398: loss 4.2360, time 95.72ms, mfu 2.04%
iter 399: loss 3.7618, time 95.57ms, mfu 2.04%
iter 400: loss 3.8652, time 95.36ms, mfu 2.04%
iter 401: loss 4.3117, time 97.31ms, mfu 2.04%
iter 402: loss 4.1734, time 95.02ms, mfu 2.04%
iter 403: loss 4.0051, time 95.95ms, mfu 2.04%
iter 404: loss 4.2566, time 95.64ms, mfu 2.04%
iter 405: loss 4.2185, time 95.86ms, mfu 2.04%
iter 406: loss 3.6861, time 96.06ms, mfu 2.04%
iter 407: loss 4.6117, time 95.43ms, mfu 2.04%
iter 408: loss 4.5056, time 96.05ms, mfu 2.04%
iter 409: loss 3.7164, time 97.37ms, mfu 2.03%
iter 410: loss 3.9611, time 95.01ms, mfu 2.04%
iter 411: loss 4.1494, time 95.63ms, mfu 2.04%
iter 412: loss 4.3983, time 95.64ms, mfu 2.04%
iter 413: loss 3.7710, time 95.99ms, mfu 2.04%
iter 414: loss 3.9769, time 96.22ms, mfu 2.04%
iter 415: loss 3.9162, time 95.16ms, mfu 2.04%
iter 416: loss 4.2457, time 96.41ms, mfu 2.04%
iter 417: loss 3.8279, time 95.46ms, mfu 2.04%
iter 418: loss 4.4358, time 96.29ms, mfu 2.04%
iter 419: loss 4.4696, time 95.10ms, mfu 2.04%
iter 420: loss 4.3072, time 97.04ms, mfu 2.03%
iter 421: loss 4.1831, time 95.38ms, mfu 2.04%
iter 422: loss 4.0584, time 95.31ms, mfu 2.04%
iter 423: loss 3.9232, time 96.64ms, mfu 2.04%
